id,visitors
air_00a91d42b08b08d9_2017-04-23,18.317398
air_00a91d42b08b08d9_2017-04-24,14.992334
air_00a91d42b08b08d9_2017-04-25,17.087019
air_00a91d42b08b08d9_2017-04-26,20.295444
air_00a91d42b08b08d9_2017-04-27,23.248217
air_00a91d42b08b08d9_2017-04-28,31.58658
air_00a91d42b08b08d9_2017-04-29,20.412285
air_00a91d42b08b08d9_2017-04-30,14.587228
air_00a91d42b08b08d9_2017-05-01,13.693894
air_00a91d42b08b08d9_2017-05-02,21.258322
air_00a91d42b08b08d9_2017-05-03,17.558352
air_00a91d42b08b08d9_2017-05-04,14.650115
air_00a91d42b08b08d9_2017-05-05,14.870583
air_00a91d42b08b08d9_2017-05-06,14.352018
air_00a91d42b08b08d9_2017-05-07,18.79127
air_00a91d42b08b08d9_2017-05-08,14.209475
air_00a91d42b08b08d9_2017-05-09,15.221582
air_00a91d42b08b08d9_2017-05-10,18.626713
air_00a91d42b08b08d9_2017-05-11,21.002562
air_00a91d42b08b08d9_2017-05-12,24.12237
air_00a91d42b08b08d9_2017-05-13,24.275198
air_00a91d42b08b08d9_2017-05-14,18.64201
air_00a91d42b08b08d9_2017-05-15,14.764078
air_00a91d42b08b08d9_2017-05-16,16.069246
air_00a91d42b08b08d9_2017-05-17,19.327862
air_00a91d42b08b08d9_2017-05-18,22.43568
air_00a91d42b08b08d9_2017-05-19,25.598534
air_00a91d42b08b08d9_2017-05-20,24.369839
air_00a91d42b08b08d9_2017-05-21,18.49742
air_00a91d42b08b08d9_2017-05-22,15.360844
air_00a91d42b08b08d9_2017-05-23,17.001932
air_00a91d42b08b08d9_2017-05-24,20.084019
air_00a91d42b08b08d9_2017-05-25,23.690134
air_00a91d42b08b08d9_2017-05-26,27.222065
air_00a91d42b08b08d9_2017-05-27,24.47601
air_00a91d42b08b08d9_2017-05-28,18.35738
air_00a91d42b08b08d9_2017-05-29,16.001337
air_00a91d42b08b08d9_2017-05-30,18.028885
air_00a91d42b08b08d9_2017-05-31,20.900078
air_0164b9927d20bcc3_2017-04-23,17.856888
air_0164b9927d20bcc3_2017-04-24,17.48838
air_0164b9927d20bcc3_2017-04-25,6.139722
air_0164b9927d20bcc3_2017-04-26,9.9976225
air_0164b9927d20bcc3_2017-04-27,7.351015
air_0164b9927d20bcc3_2017-04-28,29.387028
air_0164b9927d20bcc3_2017-04-29,15.658595
air_0164b9927d20bcc3_2017-04-30,17.391596
air_0164b9927d20bcc3_2017-05-01,5.0287476
air_0164b9927d20bcc3_2017-05-02,10.966647
air_0164b9927d20bcc3_2017-05-03,15.694108
air_0164b9927d20bcc3_2017-05-04,15.274018
air_0164b9927d20bcc3_2017-05-05,13.369319
air_0164b9927d20bcc3_2017-05-06,15.344967
air_0164b9927d20bcc3_2017-05-07,17.273472
air_0164b9927d20bcc3_2017-05-08,16.799484
air_0164b9927d20bcc3_2017-05-09,6.6159687
air_0164b9927d20bcc3_2017-05-10,20.57112
air_0164b9927d20bcc3_2017-05-11,20.129128
air_0164b9927d20bcc3_2017-05-12,24.596203
air_0164b9927d20bcc3_2017-05-13,16.815678
air_0164b9927d20bcc3_2017-05-14,17.505367
air_0164b9927d20bcc3_2017-05-15,17.146774
air_0164b9927d20bcc3_2017-05-16,17.734728
air_0164b9927d20bcc3_2017-05-17,20.991558
air_0164b9927d20bcc3_2017-05-18,20.58537
air_0164b9927d20bcc3_2017-05-19,25.147322
air_0164b9927d20bcc3_2017-05-20,15.731651
air_0164b9927d20bcc3_2017-05-21,17.741634
air_0164b9927d20bcc3_2017-05-22,17.50707
air_0164b9927d20bcc3_2017-05-23,18.11417
air_0164b9927d20bcc3_2017-05-24,21.429003
air_0164b9927d20bcc3_2017-05-25,21.048279
air_0164b9927d20bcc3_2017-05-26,25.663006
air_0164b9927d20bcc3_2017-05-27,15.820429
air_0164b9927d20bcc3_2017-05-28,17.982304
air_0164b9927d20bcc3_2017-05-29,17.881126
air_0164b9927d20bcc3_2017-05-30,18.507675
air_0164b9927d20bcc3_2017-05-31,21.830341
air_0241aa3964b7f861_2017-04-23,15.009189
air_0241aa3964b7f861_2017-04-24,13.038757
air_0241aa3964b7f861_2017-04-25,14.508212
air_0241aa3964b7f861_2017-04-26,17.78287
air_0241aa3964b7f861_2017-04-27,16.68297
air_0241aa3964b7f861_2017-04-28,30.166386
air_0241aa3964b7f861_2017-04-29,18.610716
air_0241aa3964b7f861_2017-04-30,15.802537
air_0241aa3964b7f861_2017-05-01,12.335292
air_0241aa3964b7f861_2017-05-02,18.823582
air_0241aa3964b7f861_2017-05-03,19.293278
air_0241aa3964b7f861_2017-05-04,18.130272
air_0241aa3964b7f861_2017-05-05,18.249392
air_0241aa3964b7f861_2017-05-06,17.186007
air_0241aa3964b7f861_2017-05-07,14.522632
air_0241aa3964b7f861_2017-05-08,12.512108
air_0241aa3964b7f861_2017-05-09,13.895922
air_0241aa3964b7f861_2017-05-10,16.76079
air_0241aa3964b7f861_2017-05-11,15.841954
air_0241aa3964b7f861_2017-05-12,22.047867
air_0241aa3964b7f861_2017-05-13,19.561176
air_0241aa3964b7f861_2017-05-14,14.625925
air_0241aa3964b7f861_2017-05-15,12.71574
air_0241aa3964b7f861_2017-05-16,14.173639
air_0241aa3964b7f861_2017-05-17,17.27491
air_0241aa3964b7f861_2017-05-18,16.357586
air_0241aa3964b7f861_2017-05-19,22.597628
air_0241aa3964b7f861_2017-05-20,20.003483
air_0241aa3964b7f861_2017-05-21,14.761733
air_0241aa3964b7f861_2017-05-22,12.926226
air_0241aa3964b7f861_2017-05-23,14.576989
air_0241aa3964b7f861_2017-05-24,17.817177
air_0241aa3964b7f861_2017-05-25,16.85273
air_0241aa3964b7f861_2017-05-26,23.17018
air_0241aa3964b7f861_2017-05-27,20.462864
air_0241aa3964b7f861_2017-05-28,14.896637
air_0241aa3964b7f861_2017-05-29,13.142396
air_0241aa3964b7f861_2017-05-30,15.03859
air_0241aa3964b7f861_2017-05-31,18.38974
air_0328696196e46f18_2017-04-23,10.453232
air_0328696196e46f18_2017-04-24,8.119316
air_0328696196e46f18_2017-04-25,9.78952
air_0328696196e46f18_2017-04-26,10.374368
air_0328696196e46f18_2017-04-27,10.424013
air_0328696196e46f18_2017-04-28,15.575611
air_0328696196e46f18_2017-04-29,15.4683485
air_0328696196e46f18_2017-04-30,8.098655
air_0328696196e46f18_2017-05-01,8.22071
air_0328696196e46f18_2017-05-02,13.413723
air_0328696196e46f18_2017-05-03,13.057044
air_0328696196e46f18_2017-05-04,12.702568
air_0328696196e46f18_2017-05-05,12.69329
air_0328696196e46f18_2017-05-06,12.80808
air_0328696196e46f18_2017-05-07,10.52783
air_0328696196e46f18_2017-05-08,8.289164
air_0328696196e46f18_2017-05-09,9.926828
air_0328696196e46f18_2017-05-10,10.409663
air_0328696196e46f18_2017-05-11,10.486102
air_0328696196e46f18_2017-05-12,12.868781
air_0328696196e46f18_2017-05-13,16.325039
