id,visitors
air_00a91d42b08b08d9_2017-04-23,17.243562948299807
air_00a91d42b08b08d9_2017-04-24,16.244962494824158
air_00a91d42b08b08d9_2017-04-25,19.432806434330914
air_00a91d42b08b08d9_2017-04-26,20.59567962679072
air_00a91d42b08b08d9_2017-04-27,20.40181758556151
air_00a91d42b08b08d9_2017-04-28,26.50403992588234
air_00a91d42b08b08d9_2017-04-29,16.930366311595723
air_00a91d42b08b08d9_2017-04-30,16.742136077924034
air_00a91d42b08b08d9_2017-05-01,16.25693127684938
air_00a91d42b08b08d9_2017-05-02,21.76773628863119
air_00a91d42b08b08d9_2017-05-03,22.458226021953422
air_00a91d42b08b08d9_2017-05-04,22.211212310299956
air_00a91d42b08b08d9_2017-05-05,22.61463662256165
air_00a91d42b08b08d9_2017-05-06,13.8665696529485
air_00a91d42b08b08d9_2017-05-07,15.876824356550044
air_00a91d42b08b08d9_2017-05-08,15.624772567314853
air_00a91d42b08b08d9_2017-05-09,17.149562800291697
air_00a91d42b08b08d9_2017-05-10,18.692018938803614
air_00a91d42b08b08d9_2017-05-11,18.372236070034187
air_00a91d42b08b08d9_2017-05-12,25.142018709819645
air_00a91d42b08b08d9_2017-05-13,16.54325786927469
air_00a91d42b08b08d9_2017-05-14,16.718451420428536
air_00a91d42b08b08d9_2017-05-15,16.191775094632263
air_00a91d42b08b08d9_2017-05-16,18.402083208437453
air_00a91d42b08b08d9_2017-05-17,19.46304671132041
air_00a91d42b08b08d9_2017-05-18,19.556776003575216
air_00a91d42b08b08d9_2017-05-19,25.820347166474633
air_00a91d42b08b08d9_2017-05-20,15.528083345464966
air_00a91d42b08b08d9_2017-05-21,16.90532457127813
air_00a91d42b08b08d9_2017-05-22,15.73592802710983
air_00a91d42b08b08d9_2017-05-23,18.570714232246146
air_00a91d42b08b08d9_2017-05-24,19.500234774572988
air_00a91d42b08b08d9_2017-05-25,20.255091803646494
air_00a91d42b08b08d9_2017-05-26,26.46691512520634
air_00a91d42b08b08d9_2017-05-27,17.136581701623577
air_00a91d42b08b08d9_2017-05-28,17.535755797974776
air_00a91d42b08b08d9_2017-05-29,17.173484532204405
air_00a91d42b08b08d9_2017-05-30,19.663491209338304
air_00a91d42b08b08d9_2017-05-31,20.58640324076132
air_0164b9927d20bcc3_2017-04-23,21.849635626933512
air_0164b9927d20bcc3_2017-04-24,13.31781865299549
air_0164b9927d20bcc3_2017-04-25,4.9525526119235135
air_0164b9927d20bcc3_2017-04-26,4.327067582812439
air_0164b9927d20bcc3_2017-04-27,5.971078899277823
air_0164b9927d20bcc3_2017-04-28,25.12277508503831
air_0164b9927d20bcc3_2017-04-29,17.68477603169041
air_0164b9927d20bcc3_2017-04-30,20.952252861094287
air_0164b9927d20bcc3_2017-05-01,4.97302415216838
air_0164b9927d20bcc3_2017-05-02,4.845703519894176
air_0164b9927d20bcc3_2017-05-03,19.15745048564144
air_0164b9927d20bcc3_2017-05-04,18.225611752016235
air_0164b9927d20bcc3_2017-05-05,3.789928677243953
air_0164b9927d20bcc3_2017-05-06,14.795683441743254
air_0164b9927d20bcc3_2017-05-07,21.08784881067662
air_0164b9927d20bcc3_2017-05-08,12.310157706283992
air_0164b9927d20bcc3_2017-05-09,4.303522541931471
air_0164b9927d20bcc3_2017-05-10,18.16325849407556
air_0164b9927d20bcc3_2017-05-11,18.433017741662614
air_0164b9927d20bcc3_2017-05-12,23.73583746515811
